DateTime,BPM,Target,RHR,steps
2021-09-06 17:01:00,70,0,68,0
2021-09-06 17:01:00,82,0,68,0
2021-09-06 17:01:00,89,0,68,0
2021-09-06 17:01:00,87,0,68,0
2021-09-06 17:02:00,85,0,68,0
2021-09-06 17:02:00,84,0,68,0
2021-09-06 17:03:00,88,0,68,0
2021-09-06 17:03:00,90,0,68,0
2021-09-06 17:03:00,91,0,68,0
2021-09-06 17:03:00,92,0,68,0
2021-09-06 17:04:00,94,0,68,0
2021-09-06 17:04:00,95,0,68,0
2021-09-06 17:06:00,80,0,68,0
2021-09-06 17:06:00,79,0,68,0
2021-09-06 17:06:00,83,0,68,0
2021-09-06 17:07:00,81,0,68,0
2021-09-06 17:07:00,77,0,68,0
2021-09-06 17:07:00,74,0,68,0
2021-09-06 17:08:00,75,0,68,0
2021-09-06 17:08:00,76,0,68,0
2021-09-06 17:08:00,78,0,68,0
2021-09-06 17:10:00,73,0,68,0
2021-09-06 17:12:00,72,0,68,0
2021-09-06 17:12:00,71,0,68,0
2021-09-06 17:22:00,69,0,68,0
2021-09-06 17:22:00,68,0,68,0
2021-09-06 17:23:00,67,0,68,0
2021-09-06 17:29:00,66,0,68,0
2021-09-06 17:53:00,65,0,68,0
2021-09-06 17:56:00,64,0,68,0
2021-09-06 18:06:00,63,0,68,0
2021-09-06 18:17:00,62,0,68,0
2021-09-06 18:33:00,72,0,68,4
2021-09-06 18:34:00,67,0,68,4
2021-09-06 18:34:00,67,0,68,37
2021-09-06 18:34:00,67,0,68,52
2021-09-06 18:35:00,65,0,68,26
2021-09-06 18:35:00,64,0,68,9
2021-09-06 18:35:00,66,0,68,7
2021-09-06 18:35:00,68,0,68,6
2021-09-06 18:38:00,68,0,68,9
2021-09-06 18:39:00,70,0,68,9
2021-09-06 18:39:00,68,0,68,5
2021-09-06 18:40:00,62,0,68,18
2021-09-06 18:41:00,65,0,68,13
2021-09-06 18:41:00,67,0,68,1
2021-09-06 18:41:00,61,0,68,0
2021-09-06 18:46:00,64,0,68,13
2021-09-06 18:46:00,64,0,68,17
2021-09-06 18:46:00,63,0,68,13
2021-09-06 18:47:00,61,0,68,10
2021-09-06 18:47:00,60,0,68,0
2021-09-06 18:47:00,61,0,68,35
2021-09-06 18:47:00,60,0,68,9
2021-09-06 18:47:00,60,0,68,8
2021-09-06 18:48:00,59,0,68,0
2021-09-06 18:50:00,62,0,68,4
2021-09-06 18:50:00,61,0,68,16
2021-09-06 18:50:00,61,0,68,14
2021-09-06 18:50:00,60,0,68,29
2021-09-06 18:50:00,61,0,68,8
2021-09-06 18:51:00,61,0,68,15
2021-09-06 18:52:00,65,0,68,9
2021-09-06 18:54:00,63,0,68,10
2021-09-06 18:54:00,60,0,68,25
2021-09-06 18:55:00,58,0,68,0
2021-09-06 18:57:00,59,0,68,10
2021-09-06 18:57:00,59,0,68,11
2021-09-06 18:57:00,60,0,68,5
2021-09-06 18:58:00,59,0,68,4
2021-09-06 18:58:00,58,0,68,8
2021-09-06 18:59:00,58,0,68,32
2021-09-06 18:59:00,60,0,68,12
2021-09-06 19:00:00,61,0,68,5
2021-09-06 19:04:00,57,0,68,7
2021-09-06 19:04:00,58,0,68,21
2021-09-06 19:04:00,59,0,68,9
2021-09-06 19:05:00,57,0,68,0
2021-09-06 19:05:00,56,0,68,7
2021-09-06 19:05:00,57,0,68,15
2021-09-06 19:07:00,57,0,68,9
2021-09-06 19:09:00,57,0,68,8
2021-09-06 19:09:00,58,0,68,6
2021-09-06 19:10:00,56,0,68,0
2021-09-06 19:10:00,59,0,68,21
2021-09-06 19:11:00,58,0,68,15
2021-09-06 19:12:00,59,0,68,28
2021-09-06 19:12:00,58,0,68,20
2021-09-06 19:12:00,58,0,68,11
2021-09-06 19:12:00,58,0,68,22
2021-09-06 19:13:00,57,0,68,4
2021-09-06 19:16:00,59,0,68,6
2021-09-06 19:21:00,57,0,68,22
2021-09-06 19:22:00,58,0,68,14
2021-09-06 19:28:00,77,0,68,10
2021-09-06 19:28:00,85,0,68,7
2021-09-06 19:28:00,73,0,68,20
2021-09-06 19:29:00,69,0,68,14
2021-09-06 19:29:00,70,0,68,4
2021-09-06 19:29:00,69,0,68,9
2021-09-06 19:29:00,68,0,68,7
2021-09-06 19:30:00,65,0,68,8
2021-09-06 19:30:00,65,0,68,22
2021-09-06 19:30:00,64,0,68,10
2021-09-06 19:30:00,63,0,68,8
2021-09-06 19:31:00,64,0,68,16
2021-09-06 19:31:00,64,0,68,6
2021-09-06 19:34:00,58,0,68,9
2021-09-06 19:34:00,57,0,68,5
2021-09-06 19:34:00,57,0,68,11
2021-09-06 19:35:00,57,0,68,27
2021-09-06 19:35:00,60,0,68,6
2021-09-06 19:35:00,59,0,68,12
2021-09-06 19:35:00,58,0,68,27
2021-09-06 19:35:00,58,0,68,33
2021-09-06 19:36:00,61,0,68,36
2021-09-06 19:36:00,60,0,68,18
2021-09-06 19:37:00,60,0,68,41
2021-09-06 19:37:00,61,0,68,86
2021-09-06 19:37:00,60,0,68,56
2021-09-06 19:37:00,61,0,68,55
2021-09-06 19:37:00,63,0,68,72
2021-09-06 19:37:00,61,0,68,80
2021-09-06 19:37:00,58,0,68,86
2021-09-06 19:38:00,59,0,68,70
2021-09-06 19:38:00,61,0,68,13
2021-09-06 19:38:00,60,0,68,10
2021-09-06 19:39:00,58,0,68,50
2021-09-06 19:39:00,59,0,68,79
2021-09-06 19:39:00,60,0,68,22
2021-09-06 19:44:00,60,0,68,13
2021-09-06 19:48:00,62,0,68,31
2021-09-06 19:48:00,61,0,68,30
2021-09-06 19:52:00,62,0,68,21
2021-09-06 19:52:00,63,0,68,75
2021-09-06 19:52:00,62,0,68,17
2021-09-06 19:53:00,60,0,68,4
2021-09-06 19:54:00,60,0,68,7
2021-09-06 19:57:00,59,0,68,17
2021-09-06 19:58:00,59,0,68,1
2021-09-06 19:59:00,62,0,68,16
