DateTime,BPM,Target,RHR,steps
2022-06-25 00:00:03,89,0,70,0
2022-06-25 00:00:08,88,0,70,0
2022-06-25 00:00:13,87,0,70,0
2022-06-25 00:00:28,89,0,70,49
2022-06-25 00:00:33,86,0,70,2
2022-06-25 00:00:48,86,0,70,19
2022-06-25 00:00:58,87,0,70,69
2022-06-25 00:01:03,86,0,70,95
2022-06-25 00:01:08,84,0,70,106
2022-06-25 00:01:18,85,0,70,101
2022-06-25 00:01:23,84,0,70,107
2022-06-25 00:01:28,85,0,70,104
2022-06-25 00:01:33,86,0,70,110
2022-06-25 00:01:38,87,0,70,102
2022-06-25 00:01:48,88,0,70,98
2022-06-25 00:01:58,89,0,70,107
2022-06-25 00:02:03,90,0,70,96
2022-06-25 00:02:13,91,0,70,96
2022-06-25 00:02:18,93,0,70,100
2022-06-25 00:02:23,93,0,70,103
2022-06-25 00:02:28,92,0,70,105
2022-06-25 00:02:33,91,0,70,103
2022-06-25 00:02:43,92,0,70,101
2022-06-25 00:02:58,92,0,70,103
2022-06-25 00:03:08,93,0,70,101
2022-06-25 00:03:13,92,0,70,104
2022-06-25 00:03:23,91,0,70,98
2022-06-25 00:03:28,90,0,70,100
2022-06-25 00:03:43,90,0,70,104
2022-06-25 00:03:58,91,0,70,100
2022-06-25 00:04:08,94,0,70,97
2022-06-25 00:04:13,97,0,70,97
2022-06-25 00:04:18,98,0,70,102
2022-06-25 00:04:23,96,0,70,94
2022-06-25 00:04:33,95,0,70,104
2022-06-25 00:04:38,94,0,70,99
2022-06-25 00:05:03,93,0,70,95
2022-06-25 00:05:08,101,0,70,88
2022-06-25 00:05:13,105,0,70,83
2022-06-25 00:05:18,103,0,70,79
2022-06-25 00:05:27,101,0,70,89
2022-06-25 00:05:42,100,0,70,94
2022-06-25 00:05:47,101,0,70,80
2022-06-25 00:05:52,101,0,70,78
2022-06-25 00:06:09,101,0,70,94
2022-06-25 00:06:12,101,0,70,91
2022-06-25 00:06:14,100,0,70,96
2022-06-25 00:06:17,100,0,70,87
2022-06-25 00:06:20,100,0,70,98
2022-06-25 00:06:23,100,0,70,93
2022-06-25 00:06:32,100,0,70,49
2022-06-25 00:06:34,99,0,70,17
2022-06-25 00:06:37,98,0,70,15
2022-06-25 00:06:40,98,0,70,52
2022-06-25 00:06:41,99,0,70,38
2022-06-25 00:06:42,100,0,70,26
2022-06-25 00:06:44,99,0,70,0
2022-06-25 00:06:45,98,0,70,21
2022-06-25 00:06:46,97,0,70,16
2022-06-25 00:06:48,96,0,70,30
2022-06-25 00:06:51,96,0,70,9
2022-06-25 00:06:52,97,0,70,0
2022-06-25 00:06:54,98,0,70,0
2022-06-25 00:06:59,100,0,70,0
2022-06-25 00:07:02,100,0,70,15
2022-06-25 00:07:03,101,0,70,42
2022-06-25 00:07:04,101,0,70,51
2022-06-25 00:07:05,102,0,70,0
2022-06-25 00:07:06,103,0,70,25
2022-06-25 00:07:09,103,0,70,11
2022-06-25 00:07:11,102,0,70,31
2022-06-25 00:07:15,101,0,70,57
2022-06-25 00:07:18,101,0,70,13
2022-06-25 00:07:20,100,0,70,34
2022-06-25 00:07:24,99,0,70,5
2022-06-25 00:07:31,100,0,70,11
2022-06-25 00:07:32,101,0,70,9
2022-06-25 00:07:37,103,0,70,0
2022-06-25 00:07:41,104,0,70,0
2022-06-25 00:07:43,105,0,70,0
2022-06-25 00:07:45,106,0,70,0
2022-06-25 00:07:46,107,0,70,43
2022-06-25 00:07:48,108,0,70,70
2022-06-25 00:07:50,108,0,70,51
2022-06-25 00:07:51,107,0,70,24
2022-06-25 00:08:00,107,0,70,11
2022-06-25 00:08:01,108,0,70,0
2022-06-25 00:08:08,107,0,70,0
2022-06-25 00:08:19,106,0,70,7
2022-06-25 00:08:25,105,0,70,19
2022-06-25 00:08:26,104,0,70,2
2022-06-25 00:08:27,105,0,70,17
2022-06-25 00:08:30,105,0,70,6
2022-06-25 00:08:36,101,0,70,0
2022-06-25 00:09:08,107,0,70,6
2022-06-25 00:09:09,108,0,70,12
2022-06-25 00:09:10,109,0,70,0
2022-06-25 00:09:11,110,0,70,5
2022-06-25 00:09:14,110,0,70,6
2022-06-25 00:09:17,108,0,70,5
2022-06-25 00:09:21,109,0,70,9
2022-06-25 00:09:25,111,0,70,7
2022-06-25 00:09:28,110,0,70,0
2022-06-25 00:09:37,106,0,70,8
2022-06-25 00:09:45,103,0,70,16
2022-06-25 00:09:49,101,0,70,34
2022-06-25 00:09:52,101,0,70,27
2022-06-25 00:09:53,100,0,70,12
2022-06-25 00:09:56,102,0,70,4
2022-06-25 00:10:12,105,0,70,4
2022-06-25 00:10:17,109,0,70,10
2022-06-25 00:10:19,111,0,70,0
2022-06-25 00:10:20,112,0,70,0
2022-06-25 00:10:34,110,0,70,7
2022-06-25 00:10:39,111,0,70,23
2022-06-25 00:11:01,107,0,70,4
2022-06-25 00:11:04,106,0,70,5
2022-06-25 00:11:06,105,0,70,7
2022-06-25 00:11:17,104,0,70,4
2022-06-25 00:11:23,107,0,70,14
2022-06-25 00:11:40,105,0,70,44
2022-06-25 00:11:42,106,0,70,16
2022-06-25 00:11:50,106,0,70,9
2022-06-25 00:12:07,111,0,70,13
2022-06-25 00:12:10,113,0,70,0
2022-06-25 00:12:13,116,0,70,7
2022-06-25 00:12:15,115,0,70,0
2022-06-25 00:12:16,116,0,70,6
2022-06-25 00:12:19,117,0,70,35
2022-06-25 00:12:22,117,0,70,24
2022-06-25 00:12:25,117,0,70,7
2022-06-25 00:12:28,117,0,70,9
2022-06-25 00:12:30,118,0,70,0
2022-06-25 00:12:35,119,0,70,0
2022-06-25 00:12:38,118,0,70,7
2022-06-25 00:12:40,116,0,70,0
2022-06-25 00:12:46,117,0,70,15
2022-06-25 00:12:49,117,0,70,0
2022-06-25 00:12:52,117,0,70,10
2022-06-25 00:12:57,114,0,70,0
2022-06-25 00:13:04,111,0,70,14
2022-06-25 00:13:09,109,0,70,4
2022-06-25 00:13:10,108,0,70,41
2022-06-25 00:13:14,107,0,70,28
2022-06-25 00:13:16,109,0,70,18
2022-06-25 00:13:17,110,0,70,1
2022-06-25 00:13:22,111,0,70,4
2022-06-25 00:13:43,106,0,70,41
2022-06-25 00:13:44,105,0,70,23
2022-06-25 00:13:46,103,0,70,19
2022-06-25 00:13:47,102,0,70,27
2022-06-25 00:13:48,102,0,70,19
2022-06-25 00:13:49,103,0,70,7
2022-06-25 00:13:50,104,0,70,38
2022-06-25 00:13:52,103,0,70,56
2022-06-25 00:13:53,102,0,70,6
2022-06-25 00:14:04,101,0,70,15
2022-06-25 00:14:08,99,0,70,11
2022-06-25 00:14:10,98,0,70,20
2022-06-25 00:14:15,99,0,70,4
2022-06-25 00:14:30,101,0,70,12
2022-06-25 00:14:31,102,0,70,10
2022-06-25 00:14:38,104,0,70,9
2022-06-25 00:15:00,105,0,70,9
2022-06-25 00:15:08,108,0,70,21
2022-06-25 00:15:11,108,0,70,18
